date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:28:23	149/149	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2027%20Mar%202023%2008:28:23%20GMT	https://clouddefiproject.io/robots.txt		(from )
09:28:23	27757/27757	---M--	200	added ('OK')	text/html	etag:W/%226c6d-186bf7be408%22	https://clouddefiproject.io/	C:/My%20Web%20Sites/vap/clouddefiproject.io/index.html	(from )
09:28:23	2382/2382	---M--	200	added ('OK')	image/png	etag:W/%2294e-186bf7be408%22	https://clouddefiproject.io/assets/vendor/favs.png?v=1.1	C:/My%20Web%20Sites/vap/clouddefiproject.io/assets/vendor/favsf9e3.png	(from https://clouddefiproject.io/)
09:28:24	163873/163873	---M--	200	added ('OK')	text/css	etag:W/%2228021-186bf7be408%22	https://clouddefiproject.io/assets/css/bootstrap.min.css	C:/My%20Web%20Sites/vap/clouddefiproject.io/assets/css/bootstrap.min.css	(from https://clouddefiproject.io/)
09:28:24	68601/68601	---M--	200	added ('OK')	text/css	etag:W/%2210bf9-186bf7be408%22	https://clouddefiproject.io/assets/css/animate.min.css	C:/My%20Web%20Sites/vap/clouddefiproject.io/assets/css/animate.min.css	(from https://clouddefiproject.io/)
09:28:25	6951/6951	---M--	200	added ('OK')	text/css	etag:W/%221b27-186bf7be408%22	https://clouddefiproject.io/assets/css/magnific-popup.css	C:/My%20Web%20Sites/vap/clouddefiproject.io/assets/css/magnific-popup.css	(from https://clouddefiproject.io/)
09:28:25	79200/79200	---M--	200	added ('OK')	text/css	etag:W/%2213560-186bf7be408%22	https://clouddefiproject.io/assets/css/fontawesome-all.min.css	C:/My%20Web%20Sites/vap/clouddefiproject.io/assets/css/fontawesome-all.min.css	(from https://clouddefiproject.io/)
09:28:25	1776/1776	---M--	200	added ('OK')	text/css	etag:W/%226f0-186bf7be408%22	https://clouddefiproject.io/assets/css/slick.css	C:/My%20Web%20Sites/vap/clouddefiproject.io/assets/css/slick.css	(from https://clouddefiproject.io/)
09:28:26	4989/4989	---M--	200	added ('OK')	text/css	etag:W/%22137d-186bf7be408%22	https://clouddefiproject.io/assets/css/timeline.css	C:/My%20Web%20Sites/vap/clouddefiproject.io/assets/css/timeline.css	(from https://clouddefiproject.io/)
09:28:26	7923/7923	---M--	200	added ('OK')	text/css	etag:W/%221ef3-186bf7be408%22	https://clouddefiproject.io/assets/css/default.css	C:/My%20Web%20Sites/vap/clouddefiproject.io/assets/css/default.css	(from https://clouddefiproject.io/)
09:28:26	3763/3763	---M--	200	added ('OK')	text/css	etag:W/%22eb3-186bf7be408%22	https://clouddefiproject.io/assets/css/chatg.css	C:/My%20Web%20Sites/vap/clouddefiproject.io/assets/css/chatg.css	(from https://clouddefiproject.io/)
09:28:26	138964/138964	---M--	200	added ('OK')	text/css	etag:W/%2221ed4-186bf7be408%22	https://clouddefiproject.io/assets/css/style.css?v=4.1	C:/My%20Web%20Sites/vap/clouddefiproject.io/assets/css/style8c94.css	(from https://clouddefiproject.io/)
09:28:27	1190/1190	---M--	200	added ('OK')	text/css	etag:W/%224a6-186bf7be408%22	https://clouddefiproject.io/assets/css/responsive.css	C:/My%20Web%20Sites/vap/clouddefiproject.io/assets/css/responsive.css	(from https://clouddefiproject.io/)
09:28:27	21504/21504	---M--	200	added ('OK')	image/png	etag:W/%225400-186bf7be408%22	https://clouddefiproject.io/assets/vendor/metatag.png	C:/My%20Web%20Sites/vap/clouddefiproject.io/assets/vendor/metatag.png	(from https://clouddefiproject.io/)
09:28:29	1335/1335	---M--	200	added ('OK')	application/javascript	etag:W/%22537-186bf7be408%22	https://clouddefiproject.io/assets/js/typesetup.js	C:/My%20Web%20Sites/vap/clouddefiproject.io/assets/js/typesetup.js	(from https://clouddefiproject.io/)
09:28:29	89947/89947	---M--	200	added ('OK')	text/javascript	date:Wed,%2011%20Jan%202023%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/3.6.3/jquery.min.js	C:/My%20Web%20Sites/vap/ajax.googleapis.com/ajax/libs/jquery/3.6.3/jquery.min.js	(from https://clouddefiproject.io/)
